Designator,Footprint,Quantity,Value,LCSC Part #
D1,0603,1,PWR,
J1,PAコネクタ(4ピンサイド型),1,CAN1_IN,
J11,USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal,1,PWR_IN,
J2,PAコネクタ(4ピンサイド型),1,CAN2_IN,
J3,IDC-Header_2x03_P2.54mm_Vertical,1,CAN_OUT1,
J4,IDC-Header_2x03_P2.54mm_Vertical,1,CAN_OUT2,
J5,IDC-Header_2x03_P2.54mm_Vertical,1,CAN_OUT3,
J6,IDC-Header_2x03_P2.54mm_Vertical,1,CAN_OUT4,
J7,PAコネクタ(4ピンサイド型),1,CAN1_OUT,
J8,PAコネクタ(4ピンサイド型),1,CAN2_OUT,
R1,0603,1,430,
"R2, R3",0603,2,5.1k,
"SW1, SW2, SW3, SW4",SLW,4,CAN1/2,
"SW5, SW6, SW7, SW8",SLW,4,SW_DPDT_x2,
