Designator,Mid X,Mid Y,Rotation,Layer
D1,151.908998,-93.789998,270.0,top
H6,187.25,-132.25,0.0,top
H7,110.62,-122.45,90.0,bottom
J1,130.669,-92.24,180.0,bottom
J11,142.039,-87.44,180.0,bottom
J2,120.169,-92.24,180.0,bottom
J3,118.829,-120.49,0.0,top
J4,141.329,-120.49,0.0,top
J5,163.829,-120.49,0.0,top
J6,186.329,-120.49,0.0,top
J7,202.25,-106.96,270.0,bottom
J8,202.25,-96.46,270.0,bottom
R1,149.658998,-93.789998,270.0,top
R2,147.833998,-93.789998,270.0,top
R3,145.908998,-93.789998,270.0,top
SW1,130.079,-120.495,90.0,top
SW2,152.579,-120.495,90.0,top
SW3,175.079,-120.495,90.0,top
SW4,197.579,-120.495,90.0,top
SW5,130.079,-120.495,270.0,bottom
SW6,152.579,-120.495,270.0,bottom
SW7,175.079,-120.495,270.0,bottom
SW8,197.579,-120.495,270.0,bottom
