"Reference","Value","Name","URL","Price","Qty"
"C1,C2,C3,C4,C5,C6","4.7u","GCJ31CC71E106MA15L","https://www.digikey.jp/ja/products/detail/murata-electronics/GCJ31CC71E106MA15L/10694168","107","6"
"C7,C8,C9","10n","GCM1885C1H103JA16D","https://www.digikey.jp/ja/products/detail/murata-electronics/GCM1885C1H103JA16D/13402328","26","3"
"C10,C11,C12","82p","GCM1885C2A820JA16D","https://www.digikey.jp/ja/products/detail/murata-electronics/GCM1885C2A820JA16D/2591816","15","3"
"C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24","22u","CL31A226KAHNNNE","https://www.digikey.jp/ja/products/detail/samsung-electro-mechanics/CL31A226KAHNNNE/3888705","21","12"
"D1,D2,D3","D_Schottky","B550C-13-F","https://www.digikey.jp/ja/products/detail/diodes-incorporated/B550C-13-F/768772","99","3"
"D4,D5,D6,D7","12V,5V,6.5V,BATT","SML-D12U8WT86","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/SML-D12U8WT86/1641799","30","4"
"J1","PWR_IN","XT60U-M","https://akizukidenshi.com/catalog/g/g117953/","60","1"
"J2,J3,J4","PWR_OUT1,PWR_OUT2,PWR_OUT3","XT30U-F","https://akizukidenshi.com/catalog/g/g117950/","50","3"
"L1","15u","NR10050T150M","https://www.digikey.jp/ja/products/detail/taiyo-yuden/NR10050T150M/1171798","103","1"
"L2,L3","22u","NR10050T220M","https://www.digikey.jp/ja/products/detail/taiyo-yuden/NR10050T220M/1007973","103","2"
"R1,R3,R5","100k","RN73H1JTTD1003B25","https://www.digikey.jp/ja/products/detail/koa-speer-electronics-inc/RN73H1JTTD1003B25/10675246","15","3"
"R2","31.6k","RN73H1JTTD3162B25","https://www.digikey.jp/ja/products/detail/koa-speer-electronics-inc/RN73H1JTTD3162B25/10683077","15","1"
"R4","22.9k","RN73R1JTTD2292B25","https://www.digikey.jp/ja/products/detail/koa-speer-electronics-inc/RN73R1JTTD2292B25/10013006","15","1"
"R6","18k","RN73H1JTTD1802B25","https://www.digikey.jp/ja/products/detail/koa-speer-electronics-inc/RN73H1JTTD1802B25/10688678","32","1"
"R7","1.5k","ESR03EZPJ152","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/ESR03EZPJ152/1983456","22","1"
"R8","240","ESR03EZPJ241","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/ESR03EZPJ241/1762728","22","1"
"R9","390","ESR03EZPD3900","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/ESR03EZPD3900/21326149","31","1"
"R10","500","ESR03EZPF4990","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/ESR03EZPF4990/21819734","23","1"
"U1,U2,U3","RT6285","RT6285GSP","https://www.digikey.jp/ja/products/detail/richtek-usa-inc/RT6285GSP/16376754","241","3"
