Designator,Mid X,Mid Y,Rotation,Layer
C1,120.92,-86.75,90.0,top
C10,131.0,-80.53,0.0,top
C11,131.0,-95.43,0.0,top
C12,131.0,-110.33,0.0,top
C13,145.2,-86.75,270.0,top
C14,147.5,-86.75,270.0,top
C15,149.8,-86.75,270.0,top
C16,152.1,-86.75,270.0,top
C17,145.2,-101.65,270.0,top
C18,147.5,-101.65,270.0,top
C19,149.8,-101.65,270.0,top
C2,123.22,-86.75,90.0,top
C20,152.1,-101.65,270.0,top
C21,145.2,-116.55,270.0,top
C22,147.5,-116.55,270.0,top
C23,149.8,-116.55,270.0,top
C24,152.1,-116.55,270.0,top
C3,120.92,-101.65,90.0,top
C4,123.22,-101.65,90.0,top
C5,120.92,-116.55,90.0,top
C6,123.22,-116.55,90.0,top
C7,128.32,-90.68,180.0,top
C8,128.32,-105.58,180.0,top
C9,128.32,-120.48,180.0,top
D1,122.75,-92.2,180.0,top
D2,122.75,-107.1,180.0,top
D3,122.75,-122.0,180.0,top
H5,80.25,-120.75,0.0,top
H6,121.0,-125.5,0.0,bottom
J1,113.39,-101.65,90.0,top
J2,156.45,-86.7,90.0,top
J3,156.45,-101.6,90.0,top
J4,156.45,-116.5,90.0,top
L1,138.25,-86.75,90.0,top
L2,138.25,-101.65,90.0,top
L3,138.25,-116.55,90.0,top
R1,131.0,-82.82,180.0,top
R2,125.64,-82.82,180.0,top
R3,131.0,-97.72,180.0,top
R4,125.64,-97.72,180.0,top
R5,131.0,-112.62,180.0,top
R6,125.64,-112.62,180.0,top
U1,128.32,-86.75,90.0,top
U2,128.32,-101.65,90.0,top
U3,128.32,-116.55,90.0,top
