"Reference","Value","Name","URL","Price","Qty"
"C1","4.7u","GRM188R60J226MEA0D","https://www.digikey.jp/ja/products/detail/murata-electronics/GRM188R60J226MEA0D/4280542","30","1"
"C2,C5","4.7u","GRM188R60G106ME47D","https://www.digikey.jp/ja/products/detail/murata-electronics/GRM188R60G106ME47D/702562","19","2"
"C3,C4,C6,C8,C11,C12","0.1u","GCJ188R91H124KA01D","https://www.digikey.jp/ja/products/detail/murata-electronics/GCJ188R91H124KA01D/13401917","36","6"
"C7","1u","GRM188D71H105ME01W","https://www.digikey.jp/ja/products/detail/murata-electronics/GRM188D71H105ME01W/22528412","47","1"
"C9,C10","15p","GCM1885C2A150JA16D","https://www.digikey.jp/ja/products/detail/murata-electronics/GCM1885C2A150JA16D/1765189","16","2"
"D1,D2,D3,D4,D5,D6,D7,D8,D17","CAN_R,LED","SMLD12BN1WT86","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/SMLD12BN1WT86/9826162","48","9"
"D9,D10,D12,D13,D14","CAN_RX,CAN_TX,Data,RX,TX","SML-D14MWT86A","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/SML-D14MWT86A/9448204","53","5"
"D11","PWR","SML-D12D8WT86","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/SML-D12D8WT86/1641796","30","1"
"D15,D16","D","PMEG3010ER,115","https://www.digikey.jp/ja/products/detail/nexperia-usa-inc/PMEG3010ER-115/2119868","30","2"
"F1,F2","Polyfuse","MF-FSMF020X-2","https://akizukidenshi.com/catalog/g/g114311/","20","2"
"FB1","FerriteBead","BLM18KG601SN1D","https://www.digikey.jp/ja/products/detail/murata-electronics/BLM18KG601SN1D/1982766","16","1"
"J1,J2,J3,J4,J5,J6,J7,J8","GPIO1,GPIO2,GPIO3,GPIO4,GPIO5,GPIO6,GPIO7,GPIO8","S03B-PASK-2","https://www.digikey.jp/ja/products/detail/jst-sales-america-inc/S03B-PASK-2/926754","65","8"
"J9","IMU","S04B-PASK-2","","53","1"
"J10","Debug","5077CR-16-SMC2-BK-TR","https://akizukidenshi.com/catalog/g/g114356/","110","1"
"J11","SWD","SM04B-SRSS-TB","https://www.digikey.jp/ja/products/detail/jst-sales-america-inc/SM04B-SRSS-TB/926710","81","1"
"J12","CAN","JS-1200R-06","https://eleshop.jp/shop/g/g7AB411/","62","1"
"R1,R2,R3,R4,R5,R6,R7,R8","80","ESR03EZPJ820","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/ESR03EZPJ820/4051294","22","8"
"R9,R10,R11,R12,R13,R14,R15,R16,R30","300,330","ESR03EZPJ301","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/ESR03EZPJ301/1762729","22","9"
"R17,R18,R20,R23,R24,R28","100,96","ESR03EZPJ101","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/ESR03EZPJ101/1983452","22","6"
"R19,R27","420,430","ESR03EZPJ431","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/ESR03EZPJ431/4051257?s=N4IgjCBcoCwGxVAYygMwIYBsDOBTANCAPZQDaIA7ABwAMATCALqEAOALlCAMpsBOAlgDsA5iAC%2BhMAE4qUxCBSQMOAsTIgaTCSDo0qAVnmLleQiUjkYAZhoACAPIALALbYmrDpBABVQfzb2qACyuOjYAK68uOKEALRy0ApQfOGq5uQQjNqxDImKKWnqhllxEHloWKZqFiBU8FpxMEYVKmbqVnUUCFnaueSAgwyAwwyA6wyArUaA6UZaQA","22","2"
"R21,R22","5.1k","ESR03EZPJ512","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/ESR03EZPJ512/1762735","22","2"
"R25","120","ESR03EZPJ121","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/ESR03EZPJ121/1983454","22","1"
"R26,R31","10k","ESR03EZPJ103","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/ESR03EZPJ103/1762722","22","2"
"R29","600","ESR03EZPF5900","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/ESR03EZPF5900/20506305?s=N4IgjCBcpgbFoDGUBmBDANgZwKYBoQB7KAbRAGYBOAJgBZ4BdAgBwBcoQBlVgJwEsAdgHMQAXwJhKADkoIQySOmz4ipEAAYQDcSGrqpAVjkKluAsUhkDldQAIA8gAsAtli0t2kEAFUBfVvYoALI4aFgArjw4YgQAtBDQ8qiYZqqWIFL0WjqxtMbJyuZq5JkA7Iw5sokKvOEqFmQQ2nHU%2BZC19WpG2jqt6YCDDIDDDIDrDICtRoDpRtlAA","22","1"
"SW1","RESET","TVAF06-A020B-R","https://akizukidenshi.com/catalog/g/g114888/","22","1"
"SW2","SW_Coded","RDS-16S-1055-SMT-TR","https://www.digikey.jp/ja/products/detail/same-sky-formerly-cui-devices/RDS-16S-1055-SMT-TR/12424507","458","1"
