Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C5",0603,3,4.7u,
"C10, C9",0603,2,15p,
"C11, C12, C3, C4, C6, C8",0603,6,0.1u,
C7,0603,1,1u,
"D1, D2, D3, D4, D5, D6, D7, D8",0603,8,LED,
D10,0603,1,RX,
D11,0603,1,PWR,
D12,0603,1,Data,
D13,0603,1,CAN_TX,
D14,0603,1,CAN_RX,
"D15, D16",Nexperia_CFP3_SOD-123W,2,D,
D17,0603,1,CAN_R,
D9,0603,1,TX,
"F1, F2",MF-FSMF,2,Polyfuse,
FB1,0603,1,FerriteBead,
J1,PAコネクタ(3ピンサイド型),1,GPIO1,
J10,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,Debug,
J11,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,SWD,
J12,IDC-Header_2x03_P2.54mm_Horizontal,1,CAN,
J2,PAコネクタ(3ピンサイド型),1,GPIO2,
J3,PAコネクタ(3ピンサイド型),1,GPIO3,
J4,PAコネクタ(3ピンサイド型),1,GPIO4,
J5,PAコネクタ(3ピンサイド型),1,GPIO5,
J6,PAコネクタ(3ピンサイド型),1,GPIO6,
J7,PAコネクタ(3ピンサイド型),1,GPIO7,
J8,PAコネクタ(3ピンサイド型),1,GPIO8,
J9,PAコネクタ(4ピンサイド型),1,IMU,
"R1, R2, R3, R4, R5, R6, R7, R8",0603,8,80,
"R10, R11, R12, R13, R14, R15, R16, R9",0603,8,330,
"R17, R18, R20, R23, R24",0603,5,96,
R19,0603,1,430,
"R21, R22",0603,2,5.1k,
R25,0603,1,120,
"R26, R31",0603,2,10k,
R27,0603,1,420,
R28,0603,1,100,
R29,0603,1,600,
R30,0603,1,300,
SW1,TVAF06-A020B-R,1,RESET,
SW2,RDS-1055-SMT,1,SW_Coded,
SW3,SLW,1,CAN_R,
U1,LQFP-32_7x7mm_P0.8mm,1,STM32F303K8Tx,
U2,SOT-223-3_TabPin2,1,TLV1117-33,
U3,MSOP-10_3x3mm_P0.5mm,1,CH340E,
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2561/2FD,
U5,LED_ROHM_SMLVN6,1,LED_GRB,
Y1,XRCGB,1,Crystal_GND2,
