Designator,Mid X,Mid Y,Rotation,Layer
C1,138.75,-104.225,270.0,top
C10,157.063581,-90.798266,0.0,top
C11,134.0,-82.25,270.0,top
C12,135.25,-101.5,270.0,top
C2,138.75,-101.0,90.0,top
C3,141.23,-83.725,90.0,top
C4,150.975,-95.0,0.0,top
C5,139.25,-83.725,90.0,top
C6,152.5,-87.775,90.0,top
C7,154.5,-87.775,90.0,top
C8,158.5,-87.775,90.0,top
C9,157.063581,-92.798266,0.0,top
D1,134.0,-76.5,0.0,top
D10,122.9145,-76.5,0.0,top
D11,135.5,-108.75,0.0,top
D12,123.75,-81.75,270.0,top
D13,126.175,-106.75,0.0,top
D14,126.175,-108.75,0.0,top
D15,126.25,-89.0,180.0,top
D16,122.75,-103.0,180.0,top
D17,132.2125,-94.5,0.0,top
D2,142.5,-76.52,0.0,top
D3,151.0,-76.52,0.0,top
D4,159.5,-76.52,0.0,top
D5,168.0,-76.52,0.0,top
D6,169.53,-81.95,270.0,top
D7,169.53,-90.45,270.0,top
D8,169.53,-98.95,270.0,top
D9,126.0805,-76.5,180.0,top
F1,122.0,-100.765,180.0,top
F2,122.0,-89.0,180.0,top
FB1,156.5,-87.775,270.0,top
J1,134.0,-73.75,180.0,top
J10,114.175,-80.23,270.0,top
J11,113.675,-80.23,90.0,bottom
J12,122.62,-95.35,180.0,top
J2,142.5,-73.75,180.0,top
J3,151.0,-73.75,180.0,top
J4,159.5,-73.75,180.0,top
J5,168.0,-73.75,180.0,top
J6,172.3,-81.95,90.0,top
J7,172.3,-90.45,90.0,top
J8,172.3,-98.95,90.0,top
J9,124.5,-73.75,180.0,top
R1,130.0,-78.46,0.0,bottom
R10,145.255,-81.675,270.0,top
R11,147.255,-81.675,270.0,top
R12,149.255,-81.675,270.0,top
R13,151.255,-81.675,270.0,top
R14,161.675,-85.0,180.0,top
R15,161.675,-87.0,180.0,top
R16,161.675,-89.0,180.0,top
R17,126.08,-77.96,0.0,bottom
R18,122.906,-77.96,180.0,bottom
R19,135.5,-106.75,0.0,top
R2,138.5,-78.48,0.0,bottom
R20,122.0,-82.5,270.0,top
R21,122.175,-86.5,0.0,top
R22,125.525,-86.5,0.0,top
R23,122.675,-106.75,180.0,top
R24,122.675,-108.76,180.0,top
R25,134.575,-97.0,180.0,top
R26,146.0,-97.5,180.0,top
R27,128.627617,-94.499645,180.0,top
R28,162.5,-90.75,180.0,top
R29,162.5,-92.5,180.0,top
R3,147.0,-78.48,0.0,bottom
R30,162.5,-94.25,180.0,top
R4,155.5,-78.48,0.0,bottom
R5,164.0,-78.48,180.0,bottom
R6,167.57,-85.95,270.0,bottom
R7,167.57,-94.45,270.0,bottom
R8,167.57,-100.95,270.0,bottom
R9,143.255,-81.675,270.0,top
SW1,175.475,-74.9,0.0,top
SW2,157.6,-101.5175,0.0,top
SW3,134.5,-89.175,0.0,top
U1,145.825,-89.2,90.0,top
U2,144.5,-103.25,180.0,top
U3,129.3875,-82.25,270.0,top
U4,130.5,-101.5,90.0,top
U5,169.225,-106.0,0.0,top
Y1,153.4,-91.7,180.0,top
