Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_Nano,1,Arduino_Nano_v3.x,
C1,0603,1,0.1u,
D1,LED_D5.0mm,1,LED,
J1,AMASS_XT30U-M_1x02_P5.0mm_Vertical,1,PWR,
J2,PAコネクタ(3ピントップ型),1,LED1,
J3,PAコネクタ(3ピントップ型),1,LED2,
J4,PAコネクタ(3ピントップ型),1,LED3,
J5,PAコネクタ(3ピントップ型),1,LED4,
J6,PAコネクタ(3ピントップ型),1,IN1,
J7,PAコネクタ(3ピントップ型),1,IN2,
"R1, R2",0603,2,R,
"R5, R6",0603,2,10k,
RV1,TSR-3386K,1,Red,
RV2,TSR-3386K,1,Green,
RV3,TSR-3386K,1,Blue,
RV4,TSR-3386K,1,Brightness,
SW1,SS-12D00G3,1,MODE,
"U1, U2",SOIC-4_4.55x2.6mm_P1.27mm,2,TLP291,
