Designator,Mid X,Mid Y,Rotation,Layer
A1,145.19,-94.195,270.0,top
C1,157.93,-99.315,0.0,top
D1,172.2389,-99.32,270.0,top
H5,177.515,-90.615,0.0,top
H6,117.1295,-96.55,90.0,bottom
J1,170.3695,-109.705,0.0,top
J2,152.1295,-81.28,180.0,top
J3,143.6295,-81.28,180.0,top
J4,135.1295,-81.28,180.0,top
J5,126.6295,-81.28,180.0,top
J6,169.6295,-81.28,180.0,top
J7,161.1295,-81.28,180.0,top
R1,164.96,-90.04,180.0,top
R2,164.96,-93.52,180.0,top
R5,151.2,-90.04,270.0,top
R6,151.2,-93.52,270.0,top
RV1,125.4443,-108.888,0.0,top
RV2,136.0943,-108.888,0.0,top
RV3,146.7443,-108.888,0.0,top
RV4,157.3943,-108.888,0.0,top
SW1,172.2389,-90.47,90.0,top
U1,157.93,-90.04,90.0,top
U2,157.93,-93.52,90.0,top
