"Reference","Value","URL","Name","Price","Qty"
"C1","0.33u","https://www.digikey.jp/ja/products/detail/samsung-electro-mechanics/CL10A225KB8NNNC/10479006","CL10A225KB8NNNC","37","1"
"C2","4.7u","https://www.digikey.jp/ja/products/detail/murata-electronics/GRM188R60J226MEA0D/4280542","GRM188R60J226MEA0D","30","1"
"C3,C7,C9,C14,C15,C19,C20,C21,C23,C24,C25,C26","0.1u","https://www.digikey.jp/ja/products/detail/murata-electronics/GCJ188R91H124KA01D/13401917","GCJ188R91H124KA01D","36","12"
"C4,C18","4.7u","https://www.digikey.jp/ja/products/detail/murata-electronics/GRM188R60G106ME47D/702562","GRM188R60G106ME47D","19","2"
"C5,C6","330u","https://akizukidenshi.com/catalog/g/g117278/","50TPV330M10X10.5","40","2"
"C8,C11,C12","1000p","https://www.digikey.jp/ja/products/detail/w%C3%BCrth-elektronik/885012006029/5453626","885012006029","15","3"
"C10,C13","2.5u","https://www.digikey.jp/ja/products/detail/samsung-electro-mechanics/CL10A226MO7JZNC/7320581","CL10A226MO7JZNC","90","2"
"C16,C17","15p","https://www.digikey.jp/ja/products/detail/murata-electronics/GCM1885C2A150JA16D/1765189","GCM1885C2A150JA16D","16","2"
"C22","1u","https://www.digikey.jp/ja/products/detail/murata-electronics/GRM188D71H105ME01W/22528412","GRM188D71H105ME01W","47","1"
"D1,D15","D","https://www.digikey.jp/ja/products/detail/nexperia-usa-inc/PMEG3010ER-115/2119868 ","PMEG3010ER,115","30","2"
"D2,D3,D4,D8,D9,D10,D11","CAN_R,MA,MB,OCD1,OCD2,SW1,SW2","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/SMLD12BN1WT86/9826162","SMLD12BN1WT86","48","7"
"D5","PWR","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/SML-D12D8WT86/1641796","SML-D12D8WT86","30","1"
"D6","BATT","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/SML-D12U8WT86/1641799","SML-D12U8WT86","30","1"
"D7,D12","D_Schottky","https://akizukidenshi.com/catalog/g/g101398/","RB160M-30TR","15","2"
