Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,0.33u,
"C10, C13",0603,2,2.5u,
"C11, C12, C8",0603,3,1000p,
"C14, C15, C19, C20, C21, C23, C24, C25, C26, C3, C7, C9",0603,12,0.1u,
"C16, C17",0603,2,15p,
"C18, C2, C4",0603,3,4.7u,
C22,0603,1,1u,
"C5, C6",CP_Elec_10x10.5,2,330u,
"D1, D15",Nexperia_CFP3_SOD-123W,2,D,
D10,0603,1,OCD1,
D11,0603,1,OCD2,
"D12, D7",D_SOD-123,2,D_Schottky,
D13,0603,1,CAN_TX,
D14,0603,1,CAN_RX,
D16,0603,1,DATA,
D2,0603,1,CAN_R,
D3,0603,1,SW2,
D4,0603,1,SW1,
D5,0603,1,PWR,
D6,0603,1,BATT,
D8,0603,1,MA,
D9,0603,1,MB,
"F1, F2",MF-FSMF,2,Polyfuse,
FB1,0603,1,FerriteBead,
J1,IDC-Header_2x03_P2.54mm_Horizontal,1,CAN,
J2,SM05B-PASS-TBx,1,ENC,
J3,SM02B-PASS-TBx,1,SW1,
J4,SM02B-PASS-TBx,1,SW2,
J5,XT60PW-M_Horizontal,1,VIN,
J6,XT60PW-F_Horizontal,1,Motor,
J7,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,SWD,
J8,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,Debug,
"Q1, Q2",Vishay_PowerPAK_8x8L_Dual,2,Q_NMOS,
Q3,TSOT-23,1,Q_NMOS_GSD,
"R1, R22, R23",0603,3,420,
R10,0603,1,430,
"R11, R18",0603,2,1.5k,
R12,0603,1,13k,
R13,0603,1,2.4k,
R14,0603,1,18k,
R15,0603,1,3k,
"R16, R17, R26, R27, R8, R9",0603,6,80,
"R19, R20, R24, R25, R29, R30, R39, R40",0603,8,10k,
R2,0603,1,120,
R21,0603,1,3.7k,
R28,0603,1,1k,
"R3, R31, R32, R35",0603,4,100,
"R33, R34",0603,2,5.1k,
"R36, R37",0603,2,350,
R38,0603,1,660,
R4,0603,1,600,
R5,0603,1,300,
"R6, R7",0603,2,330,
"RV1, RV2",ST-4ETB103,2,10k,
SW1,SLW,1,CAN_R,
SW2,RDS-1055-SMT,1,SW_Coded,
SW3,TVAF06-A020B-R,1,RESET,
U1,LED_ROHM_SMLVN6,1,LED_GRB,
U10,MSOP-10_3x3mm_P0.5mm,1,CH340E,
"U11, U12",SO-5-6_4.55x3.7mm_P1.27mm,2,TLP2348,
U2,TO-252-2,1,NJM7812SDL1,
U3,SOT-223-3_TabPin2,1,TLV1117-33,
U4,CZ3A,1,CZ-3A05,
"U5, U6",SOIC-8_3.9x4.9mm_P1.27mm,2,IR2302,
U7,SOIC-4_4.55x2.6mm_P1.27mm,1,TLP293,
U8,LQFP-32_7x7mm_P0.8mm,1,STM32F303K8Tx,
U9,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2561/2FD,
Y1,XRCGB,1,Crystal_GND2,
