Designator,Mid X,Mid Y,Rotation,Layer
C1,162.17,-86.18,90.0,bottom
C10,150.125,-93.655,90.0,bottom
C11,146.8299,-87.565,270.0,bottom
C12,173.75,-117.925,180.0,bottom
C13,150.145,-100.515,90.0,bottom
C14,140.15,-103.85,180.0,bottom
C15,132.782,-113.547,180.0,top
C16,145.65,-92.84,0.0,top
C17,145.65,-91.09,0.0,top
C18,128.14,-98.32,270.0,top
C19,140.71,-105.16,225.0,top
C2,143.64,-113.678,90.0,bottom
C20,129.7,-98.32,270.0,top
C21,145.84,-95.28,90.0,top
C22,148.505,-95.285,90.0,top
C23,122.75,-107.575,0.0,bottom
C24,135.05,-90.7,0.0,top
C25,136.69,-97.492,0.0,bottom
C26,136.69,-103.215,0.0,bottom
C3,162.17,-82.14,270.0,bottom
C4,143.64,-110.518,90.0,bottom
C5,169.205,-86.2885,270.0,top
C6,157.705,-86.288,270.0,top
C7,167.83,-117.925,0.0,bottom
C8,153.11,-87.565,270.0,bottom
C9,140.15,-96.99,0.0,bottom
D1,131.0,-116.075,0.0,bottom
D10,143.2725,-120.385,0.0,top
D11,143.2725,-122.395,0.0,top
D12,148.5255,-103.295,0.0,bottom
D13,127.469,-120.385,0.0,top
D14,127.469,-122.395,0.0,top
D15,121.5425,-100.775,180.0,bottom
D16,135.98,-93.18,270.0,top
D2,150.95,-106.85,90.0,top
D3,147.3305,-81.105,270.0,top
D4,145.371,-81.105,270.0,top
D5,136.39,-120.385,0.0,top
D6,176.395,-81.11,270.0,top
D7,148.505,-96.435,0.0,bottom
D8,178.355,-81.1095,270.0,top
D9,180.315,-81.11,270.0,top
F1,130.205,-113.82,180.0,bottom
F2,120.748,-103.015,0.0,bottom
FB1,150.1,-95.28,270.0,top
H5,77.895,-108.21,0.0,top
H8,158.42,-107.33,0.0,bottom
J1,130.62,-108.925,180.0,top
J2,133.275,-83.575,0.0,bottom
J3,130.25,-84.37525,0.0,top
J4,139.85,-84.37525,0.0,top
J5,183.215,-93.683,270.0,top
J6,183.215,-109.56675,270.0,top
J7,121.875,-93.805,90.0,bottom
J8,122.175,-93.805,270.0,top
Q1,171.59,-105.445,0.0,top
Q2,161.45,-105.445,0.0,top
Q3,147.23,-106.4505,180.0,bottom
R1,149.92,-109.4,180.0,top
R10,141.26,-116.14,180.0,bottom
R11,176.395,-81.11,270.0,bottom
R12,148.39,-89.935,180.0,bottom
R13,151.55,-89.935,180.0,bottom
R14,142.11,-89.935,180.0,bottom
R15,145.27,-89.935,180.0,bottom
R16,147.635,-94.2,0.0,bottom
R17,147.665,-91.66,0.0,bottom
R18,170.79,-117.925,180.0,bottom
R19,168.63,-99.64,180.0,top
R2,150.06,-97.49,180.0,top
R20,158.99,-99.65,180.0,top
R21,179.335,-81.11,90.0,bottom
R22,147.18,-116.14,180.0,bottom
R23,150.14,-116.14,180.0,bottom
R24,168.63,-111.25,180.0,top
R25,158.99,-111.25,180.0,top
R26,147.655,-101.055,180.0,bottom
R27,147.645,-98.515,180.0,bottom
R28,144.08,-106.27,90.0,bottom
R3,150.85,-113.815,90.0,bottom
R30,137.73,-107.72,180.0,top
R31,135.34,-116.14,180.0,bottom
R32,138.3,-116.14,180.0,bottom
R33,124.11,-88.02,0.0,bottom
R34,124.11,-86.56,0.0,bottom
R35,139.69,-91.99,0.0,top
R36,128.94,-94.663,90.0,bottom
R37,128.94,-100.385,270.0,bottom
R38,150.33,-106.42,90.0,bottom
R39,145.77,-109.631,270.0,bottom
R4,149.29,-113.815,90.0,bottom
R40,133.74,-104.47,0.0,bottom
R5,147.73,-113.815,90.0,bottom
R6,129.73,-90.63,180.0,bottom
R7,129.73,-92.09,180.0,bottom
R8,149.291,-81.105,270.0,top
R9,151.001,-81.105,270.0,top
RV1,149.97,-83.515,0.0,bottom
RV2,143.69,-83.515,0.0,bottom
SW1,146.485258,-101.6995,90.0,top
SW2,142.83,-113.58,0.0,top
SW3,131.122,-116.117,0.0,top
U1,151.45,-121.325,0.0,top
U10,131.8,-93.035,270.0,top
U11,134.17,-94.6625,180.0,bottom
U12,134.17,-100.385,180.0,bottom
U2,169.29,-84.159782,180.0,bottom
U3,138.31,-111.5575,180.0,bottom
U4,169.25,-110.255,270.0,bottom
U5,142.370258,-93.56,90.0,bottom
U6,142.370258,-100.42,90.0,bottom
U7,138.85,-106.27,270.0,bottom
U8,135.92,-100.35,90.0,top
U9,122.75,-112.325,180.0,bottom
Y1,141.625,-94.845,0.0,top
