Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C5",0603,3,4.7u,
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C3, C4, C6",0603,12,0.1u,
C7,0603,1,1u,
"C8, C9",0603,2,15p,
"D1, D10, D11, D12, D13, D14, D15, D17, D7, D8, D9",0603,11,LED,
"D16, D5, D6",Nexperia_CFP3_SOD-123W,3,D,
D2,0603,1,CAN_TX,
D3,0603,1,CAN_RX,
D4,0603,1,Data,
"F1, F2",MF-FSMF,2,Polyfuse,
FB1,0603,1,FerriteBead,
J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,SWD,
"J10, J11, J4, J5, J6, J7, J8, J9",PAコネクタ(3ピンサイド型),8,LED1,
J12,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,1,BATT,
J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,Debug,
J3,IDC-Header_2x03_P2.54mm_Horizontal,1,CAN,
R1,0603,1,430,
R10,0603,1,300,
R11,0603,1,120,
"R12, R13, R14, R15, R16, R17, R18, R19",0603,8,80,
R2,0603,1,243,
"R20, R22",0603,2,10k,
R21,0603,1,420,
"R3, R4, R7",0603,3,96,
"R5, R6",0603,2,5.1k,
R8,0603,1,100,
R9,0603,1,600,
SW1,TVAF06-A020B-R,1,Reset,
SW2,RDS-1055-SMT,1,SW_Coded,
SW3,SLW,1,CAN_R,
U1,SOT-223-3_TabPin2,1,TLV1117-33,
U2,LQFP-32_7x7mm_P0.8mm,1,STM32F303K8Tx,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2561/2FD,
"U4, U5",SOIC-16W_7.5x10.3mm_P1.27mm,2,ISO6740,
U6,MSOP-10_3x3mm_P0.5mm,1,CH340E,
U7,LED_ROHM_SMLVN6,1,LED_GRB,
U8,SOT-23,1,TLV760,
Y1,XRCGB,1,Crystal_GND2,
