Designator,Mid X,Mid Y,Rotation,Layer
C1,139.0,-119.87,90.0,top
C10,180.385,-95.22,180.0,bottom
C11,118.0,-111.75,0.0,bottom
C12,133.75,-107.75,270.0,top
C13,117.525,-101.0,0.0,bottom
C14,122.525,-99.25,0.0,bottom
C15,149.75,-110.75,180.0,top
C16,149.25,-96.75,0.0,top
C17,161.0,-110.75,180.0,top
C18,159.4,-96.75,0.0,top
C2,139.0,-116.475,90.0,top
C3,143.0,-107.75,270.0,top
C4,133.75,-97.25,90.0,top
C5,132.225,-97.25,90.0,top
C6,143.5,-95.5,270.0,bottom
C7,141.75,-95.5,270.0,bottom
C8,145.046537,-108.725,270.0,top
C9,146.796537,-108.725,270.0,top
D1,144.1205,-124.61,0.0,top
D10,162.75,-94.25,0.0,top
D11,171.25,-94.25,0.0,top
D12,172.78,-99.7,270.0,top
D13,172.78,-108.25,270.0,top
D14,172.78,-116.75,270.0,top
D15,144.1205,-126.575,0.0,top
D16,117.75,-107.0,90.0,bottom
D17,137.8,-122.6,180.0,top
D2,129.4245,-124.61,0.0,top
D3,129.4245,-126.575,0.0,top
D4,131.2125,-93.25,180.0,top
D5,126.25,-106.25,180.0,top
D6,126.25,-120.25,180.0,top
D7,137.25,-94.25,0.0,top
D8,145.75,-94.25,0.0,top
D9,154.2125,-94.25,0.0,top
F1,125.455,-103.995,180.0,top
F2,125.455,-117.995,0.0,top
FB1,140.0,-95.5,90.0,bottom
J1,127.43,-86.485,180.0,bottom
J10,175.55,-108.2,90.0,top
J11,175.55,-116.7,90.0,top
J12,122.485,-97.5,90.0,top
J2,127.43,-86.975,180.0,top
J3,125.87,-113.1,180.0,top
J4,137.25,-91.5,180.0,top
J5,145.75,-91.5,180.0,top
J6,154.25,-91.5,180.0,top
J7,162.75,-91.5,180.0,top
J8,171.25,-91.5,180.0,top
J9,175.55,-99.7,90.0,top
R1,140.625,-124.61,180.0,top
R10,168.0,-124.25,180.0,top
R11,131.5,-111.0,0.0,top
R12,137.25,-96.0,180.0,bottom
R13,146.25,-96.0,180.0,bottom
R14,154.212,-96.0,180.0,bottom
R15,163.75,-96.0,180.0,bottom
R16,170.25,-96.75,180.0,bottom
R17,171.0,-101.425,90.0,bottom
R18,171.0,-109.75,90.0,bottom
R19,171.0,-118.25,90.0,bottom
R2,140.625,-126.575,180.0,top
R20,140.0,-110.5,0.0,top
R21,141.3,-122.6,0.0,top
R3,125.925,-124.61,180.0,top
R4,125.925,-126.57,180.0,top
R5,119.82,-93.91,270.0,bottom
R6,121.57,-93.91,270.0,bottom
R7,123.3,-93.91,270.0,bottom
R8,168.0,-121.25,180.0,top
R9,168.0,-122.75,180.0,top
SW1,178.725,-92.65,0.0,top
SW2,157.5,-113.0675,0.0,top
SW3,134.075,-116.8,90.0,top
U1,144.5,-117.75,180.0,top
U2,138.5,-102.25,90.0,top
U3,118.0,-116.5,180.0,bottom
U4,153.5,-103.75,0.0,top
U5,164.855,-103.75,0.0,top
U6,131.0,-105.5,180.0,top
U7,172.475,-123.75,0.0,top
U8,121.75,-102.75,90.0,bottom
Y1,145.783698,-105.041739,180.0,top
