"Reference","Value","Name","URL","Price","Qty"
"BZ1","Buzzer","CMT-8504-03-SMT-TR","https://www.digikey.jp/ja/products/detail/same-sky-formerly-cui-devices/CMT-8504-03-SMT-TR/25577254","185","1"
"C1,C38","4.7u","GRM188R60J226MEA0D","https://www.digikey.jp/ja/products/detail/murata-electronics/GRM188R60J226MEA0D/4280542","30","2"
"C2,C6","4.7u","GRM188R60G106ME47D","https://www.digikey.jp/ja/products/detail/murata-electronics/GRM188R60G106ME47D/702562","19","2"
"C3,C7,C8,C9,C11,C12,C14,C18,C19,C32,C33,C35,C37","0.1u","GCJ188R91H124KA01D","https://www.digikey.jp/ja/products/detail/murata-electronics/GCJ188R91H124KA01D/13401917","36","13"
"C4,C5","15p","GCM1885C2A150JA16D","https://www.digikey.jp/ja/products/detail/murata-electronics/GCM1885C2A150JA16D/1765189","16","2"
"C10","1u","GRM188D71H105ME01W","https://www.digikey.jp/ja/products/detail/murata-electronics/GRM188D71H105ME01W/22528412","47","1"
"C13","0.5p","CC0603CRNPO9BNR50","https://www.digikey.jp/ja/products/detail/yageo/CC0603CRNPO9BNR50/302782","15","1"
"C15,C17","47n","GCJ188R71H473KA12D","https://www.digikey.jp/ja/products/detail/murata-electronics/GCJ188R71H473KA12D/2785873","22","2"
"C16","4.7n","GRM1885C1H472JA01D","https://www.digikey.jp/ja/products/detail/murata-electronics/GRM1885C1H472JA01D/4421616","16","1"
"C20,C21,C22,C23,C24,C25","1000u","35ZLH1000MEFC12.5X20","https://akizukidenshi.com/catalog/g/g102722/","60","6"
"C26,C27,C28,C29,C30,C31","4.7u","GCJ31CC71E106MA15L","https://www.digikey.jp/ja/products/detail/murata-electronics/GCJ31CC71E106MA15L/10694168","107","6"
"C34,C36","0.33u","GCM21BR71H474KA55L","https://www.digikey.jp/ja/products/detail/murata-electronics/GCM21BR71H474KA55L/1641662","33","2"
