Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,MagneticBuzzer_CUI_CMT-8504-100-SMT,1,Buzzer,
"C1, C2, C38, C6",0603,4,4.7u,
C10,0603,1,1u,
"C11, C12, C14, C18, C19, C3, C32, C33, C35, C37, C7, C8, C9",0603,13,0.1u,
C13,0603,1,0.5p,
"C15, C17",0603,2,47n,
C16,0603,1,4.7n,
"C20, C21, C22, C23, C24, C25",CP_Radial_D12.5mm_P5.00mm,6,1000u,
"C26, C27, C28, C29, C30, C31",1206,6,4.7u,
"C34, C36",0805,2,0.33u,
"C4, C5",0603,2,15p,
"D1, D11, D8, D9",0603,4,LED,
"D10, D2",Nexperia_CFP3_SOD-123W,2,D,
"D12, D13",D_SOD-123F,2,D,
D14,0603,1,EMG,
D15,0603,1,SOFT_EMG,
D16,0603,1,DIS,
D17,D_SMC_Handsoldering,1,D_TVS,
D18,D_SOD-323_HandSoldering,1,D_TVS,
D3,0603,1,PWR,
D4,0603,1,BATT,
D5,0603,1,24VA,
D6,D_SOD-128,1,D,
F1,MF-FSMF,1,Polyfuse,
F2,MF-USML_X,1,Polyfuse,
FB1,0603,1,FerriteBead,
J1,PAコネクタ(4ピントップ型),1,CAN,
J10,PAコネクタ(2ピントップ型),1,BTN2,
J11,PAコネクタ(2ピントップ型),1,EMG_R,
"J12, J3",AMASS_XT60-F_1x02_P7.20mm_Vertical,2,Vout,
J2,AMASS_XT60-M_1x02_P7.20mm_Vertical,1,Vin,
J4,USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal,1,Power,
J5,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,SWD,
J6,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,Debug,
J7,PAコネクタ(2ピントップ型),1,EMG_EXSIG,
J8,PAコネクタ(2ピントップ型),1,PWR_SW,
J9,PAコネクタ(2ピントップ型),1,BTN1,
K1,A31CxPxxVDC2,1,A31CxPxxVDC2,
Q1,TO-252-2,1,Q_NMOS,
R1,0603,1,420,
"R10, R11, R15, R16",0603,4,5.1k,
"R12, R21, R22, R23, R26, R27, R29, R34, R35, R36, R38",0603,11,10k,
"R13, R14, R17",0603,3,96,
R18,0603,1,42.7k,
R19,0603,1,390,
R2,0603,1,430,
R20,0603,1,330,
"R24, R25",0603,2,20,
"R28, R30, R31, R33",0603,4,3.7k,
"R3, R5",0603,2,1.5k,
R32,2512,1,10,
R37,0603,1,71.5k,
R4,0603,1,120,
R6,0603,1,100,
R7,0603,1,600,
R8,0603,1,300,
R9,0603,1,1k,
RV1,3362P,1,200k,
SW1,SLW,1,CAN_R,
SW2,TVAF06-A020B-R,1,Reset,
U1,SOT-223-3_TabPin2,1,TLV1117-33,
U10,VO615A_Option7,1,VO615A,
U11,Toshiba_11-6B1A,1,TLP7820,
U12,TO-252-2,1,NJM7812SDL1,
U13,TO-252-2,1,LM7805,
U2,LED_ROHM_SMLVN6,1,LED_GRB,
U3,RECxxK-AW,1,RECxxK-AW,
U4,LQFP-32_7x7mm_P0.8mm,1,STM32F303K8Tx,
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2561/2FD,
U6,MSOP-10_3x3mm_P0.5mm,1,CH340E,
U7,SOIC-16W_7.5x10.3mm_P1.27mm,1,MLX91221xxx-ABx-xxx-RE,
U8,SOIC-16W_7.5x10.3mm_P1.27mm,1,UCC21550xDWR,
U9,PowerPAK_SO-8_Dual,1,Si7938DP,
Y1,XRCGB,1,Crystal_GND2,
