Designator,Mid X,Mid Y,Rotation,Layer
BZ1,166.75,-117.25,0.0,top
C1,112.25,-118.675,90.0,top
C10,163.25,-124.775,270.0,top
C11,132.775,-127.0,270.0,top
C12,143.25,-128.15,90.0,top
C13,91.46,-103.125,270.0,top
C14,138.75,-127.0,180.0,top
C15,101.25,-95.25,0.0,top
C16,97.75,-95.25,180.0,top
C17,94.25,-95.25,180.0,top
C18,137.58,-113.0,0.0,top
C19,142.0,-113.0,180.0,top
C2,112.25,-115.425,90.0,top
C20,140.77,-89.63,90.0,top
C21,140.77,-103.900041,270.0,top
C22,154.27,-89.63,90.0,top
C23,154.27,-103.900041,270.0,top
C24,167.77,-89.63,90.0,top
C25,167.77,-103.900041,270.0,top
C26,150.27,-104.180041,90.0,bottom
C27,147.52,-104.180041,90.0,bottom
C28,144.77,-104.180041,90.0,bottom
C29,134.134543,-103.564544,135.0,bottom
C3,165.59,-127.69,180.0,top
C30,132.19,-101.62,135.0,bottom
C31,130.245456,-99.675457,135.0,bottom
C32,87.75,-102.75,270.0,bottom
C33,102.75,-102.75,90.0,bottom
C34,140.664,-114.228,90.0,bottom
C35,140.53,-110.408,270.0,bottom
C36,86.85,-118.3,180.0,bottom
C37,86.63,-108.39,180.0,bottom
C38,102.14,-107.655,270.0,bottom
C4,159.46,-133.5,180.0,top
C5,162.735,-133.5,180.0,top
C6,155.5,-131.25,270.0,top
C7,157.5,-131.25,270.0,top
C8,149.0,-116.0,90.0,top
C9,161.5,-124.775,270.0,top
D1,113.7125,-130.75,0.0,top
D10,131.55,-128.25,180.0,bottom
D11,143.54,-138.0145,90.0,top
D12,118.35,-95.4,90.0,bottom
D13,126.0,-90.75,90.0,bottom
D14,181.5195,-122.16,180.0,top
D15,181.5195,-124.62,180.0,top
D16,181.52,-127.08,180.0,top
D17,161.02,-103.9,90.0,bottom
D18,104.98032,-118.02218,270.0,bottom
D2,118.765,-131.0,0.0,bottom
D3,91.64,-138.015,90.0,top
D4,93.4625,-77.75,0.0,top
D5,181.52,-119.7,180.0,top
D6,95.6775,-122.78,0.0,bottom
D8,145.5,-138.0145,90.0,top
D9,147.46,-138.0145,90.0,top
F1,130.755,-130.485,0.0,bottom
F2,93.46,-127.03,270.0,bottom
FB1,165.0,-124.775,90.0,top
H5,119.11,-77.84,0.0,top
H6,105.75,-78.5,180.0,bottom
J1,117.4,-134.89,0.0,top
J10,158.758,-80.08,180.0,top
J11,169.418,-80.08,180.0,top
J12,179.35,-107.95,90.0,top
J2,87.65,-90.45,90.0,top
J3,179.35,-91.45,90.0,top
J4,98.25,-136.6,0.0,top
J5,129.075,-136.815,0.0,bottom
J6,129.075,-136.325,0.0,top
J7,138.762,-134.89,0.0,top
J8,137.438,-80.08,180.0,top
J9,148.098,-80.08,180.0,top
JP1,107.82,-135.66,180.0,top
JP3,115.71,-109.25,90.0,top
JP4,142.78,-79.53,0.0,top
JP5,153.44,-79.53,0.0,top
JP6,164.1,-79.53,0.0,top
JP7,174.76,-79.53,0.0,top
JP8,125.475,-109.25,90.0,top
K1,119.1,-90.45,0.0,top
Q1,135.9275,-115.91,90.0,bottom
R1,110.75,-127.675,270.0,top
R10,96.825,-137.75,0.0,bottom
R11,96.825,-136.0,0.0,bottom
R12,151.5,-131.25,90.0,top
R13,145.5,-134.75,90.0,bottom
R14,147.5,-134.75,90.0,bottom
R15,124.25,-128.5,180.0,bottom
R16,124.25,-130.25,180.0,bottom
R17,143.54,-134.75,90.0,bottom
R18,85.5,-102.25,0.0,top
R19,85.5,-104.0,180.0,top
R2,90.675,-132.25,0.0,top
R20,140.757,-120.82,270.0,bottom
R21,133.908,-109.97,180.0,bottom
R22,103.0,-99.25,90.0,top
R23,97.75,-98.21,180.0,top
R24,134.25,-113.25,90.0,top
R25,134.25,-116.75,90.0,top
R26,124.72,-77.53,0.0,bottom
R27,121.26,-77.53,0.0,bottom
R28,113.93,-96.5,180.0,bottom
R29,107.87,-104.32,180.0,bottom
R3,97.25,-77.75,0.0,top
R30,178.425,-122.16,180.0,bottom
R31,178.425,-124.62,180.0,bottom
R32,135.012,-86.989,90.0,bottom
R33,178.425,-127.08,180.0,bottom
R34,135.8975,-123.53,0.0,bottom
R35,100.9,-99.25,90.0,top
R37,94.25,-98.21,0.0,top
R38,101.39,-105.445,180.0,bottom
R4,110.75,-124.25,90.0,top
R5,178.425,-119.7,180.0,bottom
R6,167.175,-131.0,180.0,top
R7,167.175,-132.75,180.0,top
R8,167.175,-134.51,180.0,top
R9,159.0,-115.0,180.0,top
RV1,127.095,-115.695,0.0,top
SW1,117.25,-125.175,0.0,top
SW2,178.36,-130.75,180.0,top
U1,117.9,-116.7,180.0,top
U10,112.15,-100.41,0.0,bottom
U11,95.25,-102.0,180.0,bottom
U12,148.29,-112.4275,180.0,bottom
U13,91.54,-113.22,180.0,bottom
U2,172.0,-134.75,0.0,top
U3,96.72,-118.29,270.0,top
U4,153.575,-121.5,90.0,top
U5,127.775,-127.0,90.0,top
U6,139.0,-130.25,270.0,top
U7,98.33,-88.2,180.0,top
U8,141.5,-120.0,0.0,top
U9,130.45,-78.75,180.0,bottom
Y1,160.75,-130.25,180.0,top
