"Reference","Value","Name","URL","Price","Qty"
"C1","10u","GRM21BR61A226ME44L","https://www.digikey.jp/ja/products/detail/murata-electronics/GRM21BR61A226ME44L/4905527","48","1"
"D1,D3","LED,ON","SMLD12BN1WT86","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/SMLD12BN1WT86/9826162","48","2"
"D2","PWR","SML-D12D8WT86","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/SML-D12D8WT86/1641796","30","1"
"D4","D","SL1J","https://www.digikey.jp/ja/products/detail/diotec-semiconductor/SL1J/13154909","16","1"
"J1","PWR_IN","XT30U-M","https://akizukidenshi.com/catalog/g/g117951/","50","1"
"J2","EMG_R","B02B-PASK","https://www.digikey.jp/ja/products/detail/jst-sales-america-inc/B02B-PASK/926723","25","1"
"K1","Relay_SPDT","J1031C5VDC.15S","https://www.digikey.jp/ja/products/detail/cit-relay-and-switch/J1031C5VDC-15S/14002065","198","1"
"Q1","Q_NMOS","NP52N06SLG-E1-AY","https://akizukidenshi.com/catalog/g/g109928/","20","1"
"R1,R3","420,430","ESR03EZPJ431","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/ESR03EZPJ431/4051257","22","2"
"R2","10k","ESR03EZPJ103","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/ESR03EZPJ103/1762722","22","1"
"SW1","SET","CS1213AGF260","https://www.digikey.jp/ja/products/detail/cit-relay-and-switch/CS1213AGF260/16607763","58","1"
"SW2,SW3","FREQ,MODE","DS04-254-2-02BK-SMT","https://www.digikey.jp/ja/products/detail/same-sky-formerly-cui-devices/DS04-254-2-02BK-SMT/11310860","88","2"
"SW4","PWR_SW","SS-12D00G3","https://akizukidenshi.com/catalog/g/g115707/","20","1"
"U1","RRM-1A","RRM-1A","https://www.circuitdesign.jp/item/products/telecontrol/rrm-1a/","6900","1"
