Designator,Mid X,Mid Y,Rotation,Layer
C1,125.5,-103.8,90.0,bottom
D1,173.7125,-90.5,180.0,top
D2,120.27,-103.5,270.0,top
D3,173.7125,-92.5,180.0,top
D4,158.0,-85.75,90.0,bottom
H5,203.975,-103.525,0.0,top
H6,172.5,-101.75,270.0,bottom
J1,134.0,-86.25,0.0,top
J2,147.448,-86.8,180.0,top
K1,158.75,-86.0,180.0,top
Q1,139.75,-102.01,90.0,bottom
R1,122.23,-103.5,270.0,top
R2,139.75,-109.575,0.0,bottom
R3,167.1375,-92.52,0.0,top
SW1,168.14,-97.12,180.0,top
SW2,168.14,-104.39,90.0,top
SW3,168.14,-111.75,90.0,top
SW4,121.25,-110.5,90.0,top
U1,143.29,-105.0,0.0,top
