Designator,Mid X,Mid Y,Rotation,Layer
C1,169.075,-100.6175,90.0,top
D1,174.075,-100.905,90.0,top
D2,155.25,-91.375,0.0,top
H5,163.0,-125.25,0.0,top
H6,173.825,-105.84,270.0,bottom
J1,148.65,-99.262,270.0,top
J2,148.65,-105.762,270.0,top
J3,148.65,-112.262,270.0,top
R1,155.92,-104.0,0.0,bottom
R2,155.92,-110.0,0.0,bottom
R3,155.25,-93.45,0.0,top
R4,168.5,-114.0535,0.0,top
R5,168.5,-108.9135,0.0,top
SW1,162.325,-92.5,0.0,top
SW2,172.0,-111.483,0.0,top
SW3,171.875,-106.343,0.0,top
U1,158.67,-106.88,90.0,top
