Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C2, C7",0603,4,4.7u,
"C10, C11",0603,2,15p,
"C12, C14, C15, C3, C4, C5, C6, C8",0603,8,0.1u,
C9,0603,1,1u,
"D1, D2, D3, D4, D5, D6, D7, D8, D9",0603,9,LED,
"D10, D12",0603,2,CAN_TX,
"D11, D13",0603,2,CAN_RX,
"D14, D15",Nexperia_CFP3_SOD-123W,2,D,
D16,0603,1,CAN_R,
"F1, F2",MF-FSMF,2,Polyfuse,
FB1,0603,1,FerriteBead,
J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,SWD,
J10,PAコネクタ(2ピンサイド型),1,RM7,
J11,PAコネクタ(2ピンサイド型),1,RM8,
J2,IDC-Header_2x03_P2.54mm_Horizontal,1,CAN1,
J3,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,Debug,
J4,PAコネクタ(2ピンサイド型),1,RM1,
J5,PAコネクタ(2ピンサイド型),1,RM2,
J6,PAコネクタ(2ピンサイド型),1,RM3,
J7,PAコネクタ(2ピンサイド型),1,RM4,
J8,PAコネクタ(2ピンサイド型),1,RM5,
J9,PAコネクタ(2ピンサイド型),1,RM6,
"R1, R2, R3, R4, R5, R6, R7, R8",0603,8,80,
"R10, R23",0603,2,10k,
"R11, R12, R13, R14",0603,4,96,
"R15, R18, R19",0603,3,120,
"R16, R17",0603,2,5.1k,
R20,0603,1,100,
R21,0603,1,600,
R22,0603,1,300,
R24,0603,1,420,
R9,0603,1,430,
SW1,TVAF06-A020B-R,1,RESET,
SW2,SLW,1,CAN_R,
SW3,RDS-1055-SMT,1,SW_Coded,
U1,SOT-223-3_TabPin2,1,TLV1117-33,
U2,LQFP-64_10x10mm_P0.5mm,1,STM32F446RETx,
"U3, U4",SOIC-8_3.9x4.9mm_P1.27mm,2,MCP2561/2FD,
U5,LED_ROHM_SMLVN6,1,LED_GRB,
Y1,XRCGB,1,Crystal_GND2,
