Designator,Mid X,Mid Y,Rotation,Layer
C1,147.62,-120.87,90.0,top
C10,152.975,-114.25,180.0,top
C11,156.225,-114.25,180.0,top
C12,189.635,-93.72,180.0,bottom
C13,166.25,-99.75,90.0,top
C14,147.775,-108.405,270.0,top
C15,146.9,-98.75,180.0,top
C2,147.62,-117.41,90.0,top
C3,167.25,-104.75,0.0,top
C4,164.25,-97.0,135.0,top
C5,152.25,-97.0,225.0,top
C6,151.0,-108.5,180.0,top
C7,152.5,-110.5,180.0,top
C8,166.25,-109.125,90.0,top
C9,168.0,-109.125,90.0,top
D1,161.9995,-92.77,0.0,top
D10,133.4625,-123.035,0.0,top
D11,133.4625,-125.0,0.0,top
D12,157.25,-84.2125,270.0,top
D13,155.285,-84.2125,270.0,top
D14,142.045,-117.765,180.0,top
D15,126.5,-99.075,90.0,top
D16,137.5,-102.65,0.0,top
D2,168.4995,-92.77,0.0,top
D3,174.9995,-92.77,0.0,top
D4,181.4995,-92.77,0.0,top
D5,182.03,-97.3495,270.0,top
D6,182.03,-103.85,270.0,top
D7,182.03,-110.3505,270.0,top
D8,182.03,-116.7495,270.0,top
D9,143.7125,-125.0,0.0,top
F1,141.15,-115.5,0.0,top
F2,128.765,-98.325,270.0,top
FB1,169.75,-109.125,270.0,top
J1,136.68,-84.985,180.0,bottom
J10,184.8,-110.35,90.0,top
J11,184.8,-116.75,90.0,top
J2,135.1205,-111.6,180.0,top
J3,136.68,-85.475,180.0,top
J4,162.0,-90.0,180.0,top
J5,168.5,-90.0,180.0,top
J6,175.0,-90.0,180.0,top
J7,181.5,-90.0,180.0,top
J8,184.8,-97.35,90.0,top
J9,184.8,-103.85,90.0,top
R1,171.175,-98.425,90.0,top
R10,146.5,-104.0,180.0,top
R11,134.425,-121.0,0.0,top
R12,137.925,-121.0,0.0,top
R13,151.0,-84.213,270.0,top
R14,153.0,-84.213,270.0,top
R15,142.25,-100.0,90.0,top
R16,127.75,-91.75,270.0,top
R17,126.0,-91.75,270.0,top
R18,144.5,-89.25,0.0,top
R19,189.75,-116.75,90.0,bottom
R2,173.0,-98.425,90.0,top
R20,177.175,-120.0,180.0,top
R21,177.175,-121.5,180.0,top
R22,177.175,-123.0,180.0,top
R24,137.5,-104.5,180.0,top
R3,174.75,-98.425,90.0,top
R4,176.5,-98.425,90.0,top
R5,176.575,-104.23,0.0,top
R6,176.575,-106.0,0.0,top
R7,176.575,-107.75,0.0,top
R8,176.575,-109.5,0.0,top
R9,143.675,-123.25,0.0,top
SW1,187.975,-91.1495,0.0,top
SW2,136.0,-97.5,0.0,top
SW3,166.75,-111.568,0.0,top
U1,153.25,-118.75,180.0,top
U2,158.25,-103.0,0.0,top
U3,143.025,-108.405,90.0,top
U4,146.9,-94.0,0.0,top
U5,181.725,-122.25,0.0,top
Y1,156.15,-111.71,90.0,top
