Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C5",0603,3,4.7u,
"C10, C9",0603,2,15p,
"C11, C12, C3, C4, C6, C8",0603,6,0.1u,
C7,0603,1,1u,
"D1, D15",0603,2,LED,
"D10, D11, D12, D13, D14, D7, D8, D9",D_SOD-123,8,D,
D16,0603,1,SOL1A,
D17,0603,1,SOL1B,
D18,0603,1,SOL2A,
D19,0603,1,SOL2B,
D2,0603,1,CAN_TX,
D20,0603,1,SOL3A,
D21,0603,1,SOL3B,
D22,0603,1,SOL4A,
D23,0603,1,SOL4B,
D24,0603,1,CAN_R,
D3,0603,1,CAN_RX,
"D4, D6",Nexperia_CFP3_SOD-123W,2,D,
D5,0603,1,Data,
"F1, F2",MF-FSMF,2,Polyfuse,
FB1,0603,1,FerriteBead,
J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,SWD,
J10,PAコネクタ(2ピンサイド型),1,SOL4A,
J11,PAコネクタ(2ピンサイド型),1,SOL4B,
J12,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,1,BATT,
J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,Debug,
J3,IDC-Header_2x03_P2.54mm_Horizontal,1,CAN,
J4,PAコネクタ(2ピンサイド型),1,SOL1A,
J5,PAコネクタ(2ピンサイド型),1,SOL1B,
J6,PAコネクタ(2ピンサイド型),1,SOL2A,
J7,PAコネクタ(2ピンサイド型),1,SOL2B,
J8,PAコネクタ(2ピンサイド型),1,SOL3A,
J9,PAコネクタ(2ピンサイド型),1,SOL3B,
"Q1, Q2, Q3, Q4",Infineon_PG-DSO-8-24_4x5mm,4,Q_Dual_NMOS,
R1,0603,1,430,
R10,0603,1,300,
"R11, R2, R22, R24, R26, R28, R30, R34, R35, R36",0603,10,10k,
"R12, R3, R4",0603,3,96,
"R13, R14, R15, R16, R17, R18, R19, R20",0603,8,205,
"R21, R23, R25, R27, R29, R31, R32, R33",0603,8,50,
"R5, R6",0603,2,5.1k,
R51,0603,1,1.5k,
R52,0603,1,420,
"R53, R54, R55, R56, R57, R58, R59, R60",0603,8,80,
R7,0603,1,120,
R8,0603,1,100,
R9,0603,1,600,
SW1,TVAF06-A020B-R,1,Reset,
SW2,SLW,1,CAN_R,
SW3,RDS-1055-SMT,1,SW_Coded,
U1,SOT-223-3_TabPin2,1,TLV1117-33,
U2,LQFP-32_7x7mm_P0.8mm,1,STM32F303K8Tx,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2561/2FD,
U4,MSOP-10_3x3mm_P0.5mm,1,CH340E,
U5,LED_ROHM_SMLVN6,1,LED_GRB,
"U6, U7",SOIC-16_4.55x10.3mm_P1.27mm,2,TLP293-4,
Y1,XRCGB,1,Crystal_GND2,
