Designator,Mid X,Mid Y,Rotation,Layer
C1,143.75,-111.37,90.0,top
C10,158.0,-101.25,0.0,top
C11,122.75,-103.25,0.0,bottom
C12,138.25,-99.25,270.0,top
C2,143.75,-108.0,90.0,top
C3,153.69,-105.1,180.0,top
C4,140.75,-95.25,90.0,top
C5,139.061921,-95.250444,90.0,top
C6,153.220121,-98.278705,270.0,top
C7,154.970121,-98.278705,270.0,top
C8,158.45,-98.279,90.0,top
C9,158.0,-103.0,0.0,top
D1,143.5,-116.1,0.0,top
D10,171.94,-78.75,0.0,bottom
D11,184.55,-90.25,90.0,bottom
D12,184.55,-96.75,90.0,bottom
D13,184.55,-103.25,90.0,bottom
D14,184.55,-109.75,90.0,bottom
D15,143.5,-118.065,0.0,top
D16,152.44,-85.77,0.0,top
D17,158.94,-85.77,0.0,top
D18,165.44,-85.77,0.0,top
D19,171.94,-85.77,0.0,top
D2,134.1745,-116.1,0.0,top
D20,177.53,-90.25,270.0,top
D21,177.53,-96.75,270.0,top
D22,177.53,-103.25,270.0,top
D23,177.53,-109.7495,270.0,top
D24,142.55,-114.1,180.0,top
D3,134.1745,-118.065,0.0,top
D4,131.0,-97.75,180.0,top
D5,136.012,-84.75,180.0,top
D6,131.0,-111.75,180.0,top
D7,152.44,-78.75,0.0,bottom
D8,158.94,-78.75,0.0,bottom
D9,165.44,-78.75,0.0,bottom
F1,130.205,-95.495,180.0,top
F2,130.205,-109.495,0.0,top
FB1,156.720121,-98.278705,90.0,top
H5,218.946052,-103.856936,0.0,top
H8,164.211,-109.645,0.0,bottom
J1,132.23,-77.985,180.0,bottom
J10,180.3,-103.25,90.0,top
J11,180.3,-109.75,90.0,top
J12,127.235,-89.005,90.0,top
J2,132.23,-78.475,180.0,top
J3,130.6195,-104.605,180.0,top
J4,152.44,-83.0,180.0,top
J5,158.94,-83.0,180.0,top
J6,165.44,-83.0,180.0,top
J7,171.94,-83.0,180.0,top
J8,180.3,-90.25,90.0,top
J9,180.3,-96.75,90.0,top
Q1,155.226654,-92.696732,90.0,top
Q2,162.058447,-92.650841,90.0,top
Q3,170.375,-95.25,0.0,top
Q4,170.375,-102.25,0.0,top
R1,152.25,-114.0,0.0,top
R10,172.75,-115.75,180.0,top
R12,128.07,-85.410258,270.0,bottom
R13,139.05,-88.45,270.0,bottom
R14,141.6,-88.45,270.0,bottom
R15,144.15,-88.45,270.0,bottom
R16,146.7,-88.45,270.0,bottom
R17,139.05,-80.05,270.0,bottom
R18,141.6,-80.05,270.0,bottom
R19,144.15,-80.05,270.0,bottom
R2,163.25,-103.0,0.0,top
R20,146.7,-80.05,270.0,bottom
R21,133.175,-94.409489,0.0,bottom
R22,133.175,-96.25,180.0,bottom
R23,133.175,-98.25,0.0,bottom
R24,133.175,-100.0,180.0,bottom
R25,139.25,-98.25,180.0,bottom
R26,139.25,-100.0,0.0,bottom
R27,139.25,-94.5,180.0,bottom
R28,139.25,-96.25,0.0,bottom
R29,172.25,-91.25,180.0,top
R3,130.675,-116.06,180.0,top
R30,168.75,-91.25,180.0,top
R31,177.25,-83.925,270.0,top
R32,177.25,-80.675,270.0,top
R33,177.25,-77.425,270.0,top
R34,179.0,-83.925,90.0,top
R35,179.0,-80.675,90.0,top
R36,179.0,-77.425,90.0,top
R4,130.675,-118.07,180.0,top
R5,124.57,-85.41,270.0,bottom
R51,152.25,-115.5,0.0,top
R52,146.0,-114.1,0.0,top
R53,152.44,-87.52,180.0,bottom
R54,158.94,-87.52,180.0,bottom
R55,165.44,-87.52,180.0,bottom
R56,171.94,-87.52,180.0,bottom
R57,175.78,-90.25,270.0,bottom
R58,175.78,-96.75,270.0,bottom
R59,175.78,-103.25,270.0,bottom
R6,126.3205,-85.41,270.0,bottom
R60,175.78,-109.749,270.0,bottom
R7,136.25,-102.5,0.0,top
R8,172.75,-112.75,180.0,top
R9,172.75,-114.25,180.0,top
SW1,183.475,-84.15,0.0,top
SW2,138.825,-108.3,270.0,top
SW3,162.25,-104.5675,0.0,top
U1,149.25,-109.25,180.0,top
U2,146.825,-98.75,90.0,top
U3,122.75,-108.0,180.0,bottom
U4,135.75,-97.0,180.0,top
U5,177.225,-115.25,0.0,top
U6,143.5,-88.75,0.0,top
U7,143.5,-79.75,0.0,top
Y1,154.24535,-102.163238,180.0,top
