"Reference","Value","Name","URL","Price","Qty"
"C1","4.7u","GRM188R60J226MEA0D","https://www.digikey.jp/ja/products/detail/murata-electronics/GRM188R60J226MEA0D/4280542","30","1"
"C2,C7,C13","4.7u","GRM188R60G106ME47D","https://www.digikey.jp/ja/products/detail/murata-electronics/GRM188R60G106ME47D/702562,https://www.digikey.jp/ja/products/detail/murata-electronics/GRM188R60G106ME47D/702562 ","19","3"
"C3,C4,C5,C6,C8,C12,C14,C15,C16,C17,C18","0.1u","GCJ188R91H124KA01D","https://www.digikey.jp/ja/products/detail/murata-electronics/GCJ188R91H124KA01D/13401917","36","11"
"C9","1u","GRM188D71H105ME01W","https://www.digikey.jp/ja/products/detail/murata-electronics/GRM188D71H105ME01W/22528412","47","1"
"C10,C11","12p","GCM1885C2A120JA16D","https://www.digikey.jp/ja/products/detail/murata-electronics/GCM1885C2A120JA16D/2591683","15","2"
"D1,D2","LED","SML-D12D8WT86","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/SML-D12D8WT86/1641796","30","2"
"D3,D4","D","PMEG3010ER,115","https://www.digikey.jp/ja/products/detail/nexperia-usa-inc/PMEG3010ER-115/2119868 ","30","2"
"D5,D6,D7,D8,D9","CAN1_RX,CAN1_TX,CAN2_RX,CAN2_TX,LED","SML-D14MWT86A","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/SML-D14MWT86A/9448204","53","5"
"D10,D11","CAN_R","SMLD12BN1WT86","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/SMLD12BN1WT86/9826162","48","2"
"F1,F2","Polyfuse","MF-FSMF020X-2","https://akizukidenshi.com/catalog/g/g114311/","20","2"
"FB1","FerriteBead","BLM18KG601SN1D","https://www.digikey.jp/ja/products/detail/murata-electronics/BLM18KG601SN1D/1982766","16","1"
"J1,J2","DEBUG,USB_FS","5077CR-16-SMC2-BK-TR","https://akizukidenshi.com/catalog/g/g114356/","110","2"
"J3,J4","CAN1,CAN2","S04B-PASK-2","https://www.digikey.jp/ja/products/detail/jst-sales-america-inc/S04B-PASK-2/926755","46","2"
"J5","SWD","SM04B-SRSS-TB","https://www.digikey.jp/ja/products/detail/jst-sales-america-inc/SM04B-SRSS-TB/926710","81","1"
"R1,R2,R15,R17","420,430","ESR03EZPJ431","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/ESR03EZPJ431/4051257","22","4"
"R3,R4","10k","ESR03EZPJ103","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/ESR03EZPJ103/1762722","22","2"
"R5,R6,R7,R8","5.1k","ESR03EZPJ512","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/ESR03EZPJ512/1762735","22","4"
"R9,R10,R11,R12,R13,R18","100,96","ESR03EZPJ101","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/ESR03EZPJ101/1983452","22","6"
"R14,R16","120","ESR03EZPJ121","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/ESR03EZPJ121/1983454","22","2"
"R19","600","ESR03EZPF5900","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/ESR03EZPF5900/20506305","22","1"
"R20","300","ESR03EZPJ301","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/ESR03EZPJ301/1762729","22","1"
"SW1","RESET","TVAF06-A020B-R","https://akizukidenshi.com/catalog/g/g114888/","22","1"
"SW2,SW3","CAN_R","SLW-913535-2A-SMT","https://www.digikey.jp/ja/products/detail/same-sky-formerly-cui-devices/SLW-913535-2A-SMT/21259974","87","2"
"U2","TLV1117-33","TLV1117-33CDCYR","https://www.digikey.jp/ja/products/detail/texas-instruments/TLV1117-33CDCYR/1216718","63","1"
"U3","CH340E","CH340E","https://akizukidenshi.com/catalog/g/g113543/","90","1"
"U4,U5","ISO1044BD","ISO1044BD","https://www.digikey.jp/ja/products/detail/texas-instruments/ISO1044BD/13237251","540","2"
"U6","LED_GRB","SMLVN6RGB1W1","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/SMLVN6RGB1W1/5053781","244","1"
"Y1","26MHz","XRCGB26M000F1SADR0","https://www.digikey.jp/ja/products/detail/murata-electronics/XRCGB26M000F1SADR0/21662900?s=N4IgTCBcDaIBoCUDCBxAQmAbAWQAz4DEBGAZQEEARBXEAXQF8g","50","1"
