Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C2, C7",0603,4,4.7u,
"C10, C11",0603,2,12p,
"C12, C14, C15, C16, C17, C18, C3, C4, C5, C6, C8",0603,11,0.1u,
C9,0603,1,1u,
"D1, D2, D5",0603,3,LED,
"D10, D11",0603,2,CAN_R,
"D3, D4",Nexperia_CFP3_SOD-123W,2,D,
D6,0603,1,CAN1_TX,
D7,0603,1,CAN1_RX,
D8,0603,1,CAN2_TX,
D9,0603,1,CAN2_RX,
"F1, F2",MF-FSMF,2,Polyfuse,
FB1,0603,1,FerriteBead,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_FS,
J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,DEBUG,
J3,PAコネクタ(4ピンサイド型),1,CAN1,
J4,PAコネクタ(4ピンサイド型),1,CAN2,
J5,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,SWD,
"R1, R2",0603,2,430,
"R10, R11, R12, R13, R15, R17, R9",0603,7,R,
"R14, R16",0603,2,120,
R18,0603,1,100,
R19,0603,1,600,
R20,0603,1,300,
"R3, R4",0603,2,10k,
"R5, R6, R7, R8",0603,4,5.1k,
SW1,TVAF06-A020B-R,1,RESET,
"SW2, SW3",SLW,2,CAN_R,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F446RETx,
U2,SOT-223-3_TabPin2,1,TLV1117-33,
U3,MSOP-10_3x3mm_P0.5mm,1,CH340E,
"U4, U5",SOIC-8_3.9x4.9mm_P1.27mm,2,ISO1044BD,
U6,LED_ROHM_SMLVN6,1,LED_GRB,
Y1,XRCGB,1,26MHz,
