Designator,Mid X,Mid Y,Rotation,Layer
C1,142.62,-93.0075,90.0,top
C10,147.11,-98.105,0.0,top
C11,143.85,-98.105,180.0,top
C12,151.025,-99.27,0.0,top
C13,136.16,-111.695,90.0,top
C14,135.0875,-96.525,0.0,top
C15,157.15,-103.58,0.0,bottom
C16,161.59,-103.58,180.0,bottom
C17,157.15,-114.08,0.0,bottom
C18,161.59,-114.08,180.0,bottom
C2,142.62,-89.7475,90.0,top
C3,136.16,-107.745,270.0,top
C4,137.82,-115.89,315.0,top
C5,150.16,-115.89,45.0,top
C6,151.22,-103.707,45.0,top
C7,150.003,-102.49,45.0,top
C8,140.39,-101.89,180.0,top
C9,140.39,-100.23,180.0,top
D1,131.4825,-121.305,0.0,top
D10,164.59,-102.91,90.0,top
D11,164.59,-113.405,90.0,top
D2,131.4825,-123.27,0.0,top
D3,128.41,-105.49,270.0,top
D4,133.22,-93.61,180.0,top
D5,134.6,-102.08,0.0,top
D6,167.53,-92.5705,270.0,top
D7,169.39,-92.57,270.0,top
D8,167.53,-117.43,90.0,top
D9,169.39,-117.43,90.0,top
F1,130.615,-106.2855,270.0,top
F2,129.1525,-93.61,180.0,top
FB1,140.39,-98.57,0.0,top
H5,161.59,-123.09,0.0,top
H8,134.93,-121.55,0.0,bottom
J1,122.175,-111.07,270.0,top
J2,122.175,-98.93,270.0,top
J3,170.3,-99.75,90.0,top
J4,170.3,-110.25,90.0,top
J5,122.28,-98.93,90.0,bottom
R1,128.017,-121.305,180.0,top
R10,167.53,-92.5705,270.0,bottom
R11,169.39,-92.57,270.0,bottom
R12,167.53,-117.43,90.0,bottom
R13,169.39,-117.43,90.0,bottom
R14,154.15,-98.69,270.0,top
R15,164.59,-99.45,90.0,top
R16,154.15,-109.19,270.0,top
R17,164.59,-109.945,90.0,top
R18,140.01,-90.327,180.0,bottom
R19,140.01,-88.617,180.0,bottom
R2,128.017,-123.27,180.0,top
R20,140.01,-86.907,180.0,bottom
R3,145.01,-118.03,180.0,top
R5,123.395,-111.97,0.0,bottom
R6,123.395,-110.14,0.0,bottom
R7,120.355,-92.8,0.0,bottom
R8,123.61,-92.8,180.0,bottom
R9,133.85,-103.94,0.0,top
SW1,129.68,-88.62,0.0,top
SW2,159.37,-99.75,90.0,top
SW3,159.37,-110.25,90.0,top
U1,143.99,-109.72,180.0,top
U2,148.05,-90.8875,180.0,top
U3,132.15,-99.2,270.0,top
U4,159.37,-99.75,90.0,bottom
U5,159.37,-110.25,90.0,bottom
U6,135.98,-88.6175,180.0,top
Y1,145.48,-100.865,0.0,top
