Designator,Footprint,Quantity,Value,LCSC Part #
_13,45c76225-e336-4c18-b83a-298de4bcab2e,1,,
_12,48d24059-3c40-494a-8f84-84c2b33fb441,1,,
_11,5f138ac4-1801-4a62-86aa-03bf65089883,1,,
_10,bf497f97-ccae-4585-9c04-d7d02f895d42,1,,
_9,1a6b1901-ad95-4f9f-88f5-c3ed9a0fc8c9,1,,
_8,29a68658-04e7-429c-9566-805aea6472f8,1,,
_7,39acbd9a-1614-44e2-b984-d54bf0452d51,1,,
_6,a8b1fe43-4b49-4421-8c75-3639d5b0eb03,1,,
_5,0d0f7ac8-909a-4ae9-9c57-9cd236bf9eb8,1,,
_4,d5202d12-32f9-4a35-a680-a100c931a6ad,1,,
_3,6e3549a4-ac7c-48b7-b61e-f9159b057471,1,,
_2,65391322-72f3-4ea8-a476-c731dc3b8f94,1,,
,202ef17a-f99d-4ad3-b62b-2d3b24d9d391,1,,
J1,AMASS_XT60-M_1x02_P7.20mm_Vertical,1,IN,
J2,AMASS_XT60-F_1x02_P7.20mm_Vertical,1,OUT1,
J3,AMASS_XT60-F_1x02_P7.20mm_Vertical,1,OUT2,
J4,AMASS_XT60-F_1x02_P7.20mm_Vertical,1,OUT3,
J5,AMASS_XT60-F_1x02_P7.20mm_Vertical,1,OUT4,
J6,AMASS_XT60-F_1x02_P7.20mm_Vertical,1,OUT5,
