Designator,Mid X,Mid Y,Rotation,Layer
_13,133.25,-100.5,90.0,top
_12,106.5,-123.75,0.0,top
_11,132.0,-132.5,0.0,top
_10,86.5,-121.0,0.0,top
_9,93.25,-105.75,0.0,top
_8,146.0,-100.5,90.0,top
_7,138.5,-95.75,0.0,top
_6,93.25,-123.75,0.0,top
_5,105.25,-95.75,0.0,top
_4,86.75,-106.0,90.0,top
_3,80.0,-105.5,90.0,top
_2,79.95,-123.75,0.0,top
,146.5,-123.75,0.0,top
J1,79.95,-114.65,270.0,top
J2,93.25,-114.65,270.0,top
J3,106.55,-114.65,270.0,top
J4,119.85,-114.65,270.0,top
J5,133.15,-114.65,270.0,top
J6,146.45,-114.65,270.0,top
